id,program_name,university_name,original_deadline,action_taken
poland-jan-kochanowski-university-of-kielce-administration-kielce-bachelor,Administration,Jan Kochanowski University of Kielce,2020-08-17,Cleared stale deadline
poland-sgh-warsaw-school-of-economics-advanced-analytics-big-data-warsaw-master,Advanced analytics – big data,SGH Warsaw School of Economics,2024-07-24,Cleared stale deadline
poland-lodz-university-of-technology-advanced-materials-and-nanotechnology-odz-bachelor,Advanced Materials and Nanotechnology,Lodz University of Technology,2025-07-10,Cleared stale deadline
poland-warsaw-university-of-technology-aerospace-engineering-and-astronautics-warsaw-master,Aerospace engineering and astronautics,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-warsaw-university-of-technology-aerospace-engineering-and-astronautics-warsaw-bachelor,Aerospace engineering and astronautics,Warsaw University of Technology,2024-07-17,Cleared stale deadline
poland-rzeszow-university-of-technology-aerospace-engineering-and-astronautics-rzeszow-master,Aerospace engineering and astronautics,Rzeszow University of Technology,2015-07-20,Cleared stale deadline
poland-military-university-of-aviation-aerospace-engineering-and-astronautics-deblin-bachelor,Aerospace engineering and astronautics,Military University of Aviation,2020-06-30,Cleared stale deadline
poland-military-university-of-technology-aerospace-engineering-and-astronautics-warsaw-bachelor,Aerospace engineering and astronautics,Military University of Technology,2025-07-14,Cleared stale deadline
poland-polish-air-force-academy-aerospace-engineering-and-astronautics-deblin-master,Aerospace engineering and astronautics,Polish Air Force Academy,2016-08-31,Cleared stale deadline
poland-silesian-university-of-technology-aerospace-engineering-and-astronautics-gliwice-master,Aerospace engineering and astronautics,Silesian University of Technology,2026-02-09,Cleared stale deadline
poland-university-of-agriculture-in-krakow-agricultural-engineering-agriculture-in-krakow-bachelor,Agricultural engineering,University of Agriculture in Krakow,2020-07-31,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-agricultural-engineering-olsztyn-master,Agricultural engineering,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-university-of-agriculture-in-krakow-agricultural-engineering-krakow-bachelor,Agricultural engineering,University of Agriculture in Krakow,2024-07-14,Cleared stale deadline
poland-wroc-aw-university-of-environmental-and-life-sciences-agronomy-wroc-aw-phd,Agronomy,Wrocław University of Environmental and Life Sciences,2022-05-30,Cleared stale deadline
poland-university-of-agriculture-in-krakow-agronomy-krakow-master,Agronomy,University of Agriculture in Krakow,2025-06-30,Cleared stale deadline
poland-university-of-warsaw-american-studies-warsaw-bachelor,American studies,University of Warsaw,2016-07-08,Cleared stale deadline
poland-university-of-warsaw-american-studies-warsaw-master,American studies,University of Warsaw,2016-06-24,Cleared stale deadline
