id,program_name,university_name,official_url,review_status,suggested_original_fee_rule,rationale
poland-jan-kochanowski-university-of-kielce-administration-kielce-bachelor,Administration,Jan Kochanowski University of Kielce,http://unipt.pl/?page_id=4590,unresolved,,No safe fee rule found yet
poland-rzeszow-university-of-technology-aerospace-engineering-and-astronautics-rzeszow-master,Aerospace engineering and astronautics,Rzeszow University of Technology,http://www.prz.edu.pl/en/MSc/MaME/,unresolved,,No safe fee rule found yet
poland-military-university-of-aviation-aerospace-engineering-and-astronautics-deblin-bachelor,Aerospace engineering and astronautics,Military University of Aviation,https://law.mil.pl/index.php/en/,unresolved,,No safe fee rule found yet
poland-military-university-of-technology-aerospace-engineering-and-astronautics-warsaw-bachelor,Aerospace engineering and astronautics,Military University of Technology,https://www.wojsko-polskie.pl/wat/u/19/b9/19b93b81-6af2-44c6-a704-9fbd0f4c0c9f/aeronautics_and_astronautics_2023.pdf,unresolved,,No safe fee rule found yet
poland-polish-air-force-academy-aerospace-engineering-and-astronautics-deblin-master,Aerospace engineering and astronautics,Polish Air Force Academy,https://study.gov.pl/university/polish-air-force-academy,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-aerospace-engineering-and-astronautics-gliwice-master,Aerospace engineering and astronautics,Silesian University of Technology,https://rekrutacja.polsl.pl/syl-2iliken/,unresolved,,No safe fee rule found yet
poland-university-of-agriculture-in-krakow-agricultural-engineering-agriculture-in-krakow-bachelor,Agricultural engineering,University of Agriculture in Krakow,http://studyagriculture.ur.krakow.pl/,unresolved,,No safe fee rule found yet
poland-university-of-agriculture-in-krakow-agricultural-engineering-krakow-bachelor,Agricultural engineering,University of Agriculture in Krakow,https://urk.edu.pl/en/study/study-in-english/bachelor-studies,unresolved,,No safe fee rule found yet
poland-university-of-agriculture-in-krakow-agronomy-krakow-master,Agronomy,University of Agriculture in Krakow,https://urk.edu.pl/en/study/study-in-english/master-studies/programs,unresolved,,No safe fee rule found yet
poland-university-of-life-sciences-in-lublin-animal-husbandry-lublin-bachelor,Animal husbandry,University of Life Sciences in Lublin,http://www.up.lublin.pl/equine-management/,unresolved,,No safe fee rule found yet
poland-university-of-warsaw-archeology-warsaw-bachelor,Archeology,University of Warsaw,http://www.archeo.uw.edu.pl/szablon.php?id=1071,conditional,85 PLN or 100 PLN,Programme-level exam rules still vary by pathway
poland-cracow-university-of-technology-architecture-krakow-master,Architecture,Cracow University of Technology,http://iro.pk.edu.pl/ma-architecture/,unresolved,,No safe fee rule found yet
poland-cracow-university-of-technology-architecture-krakow-bachelor,Architecture,Cracow University of Technology,http://iro.pk.edu.pl/4989-2/,unresolved,,No safe fee rule found yet
poland-university-college-of-enterprise-and-administration-in-lublin-architecture-lublin-bachelor,Architecture,University College of Enterprise and Administration in Lublin,http://www.en.wspa.pl/education/undergraduate_programs/architecture/,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-architecture-gliwice-master,Architecture,Silesian University of Technology,https://apply.polsl.pl/en_GB/courses/course/940-msc-architecture?search=399178,unresolved,,No safe fee rule found yet
poland-polish-japanese-academy-of-information-technology-art-and-design-warsaw-bachelor,Art and design,Polish-Japanese Academy of Information Technology,https://pja.edu.pl/en/projektowanie-graficzne-i-sztuka-multimediow/projektowanie-graficzne-i-sztuka-multimediow-studia-i-stopnia-stacjonarne-anglojezyczne/program-studiow/,unresolved,,No safe fee rule found yet
poland-the-eugeniusz-geppert-academy-of-art-and-design-in-wroc-aw-art-and-design-wroc-aw-master,Art and design,The Eugeniusz Geppert Academy of Art and Design in Wrocław,https://www.asp.wroc.pl/en/study-offer/mfa-visual-arts,unresolved,,No safe fee rule found yet
poland-the-eugeniusz-geppert-academy-of-art-and-design-in-wroc-aw-art-and-design-wroc-aw-phd,Art and design,The Eugeniusz Geppert Academy of Art and Design in Wrocław,https://www.asp.wroc.pl/en/academy/doctoral-school/about-doctoral-school,unresolved,,No safe fee rule found yet
poland-university-of-arts-in-poznan-art-and-design-poznan-bachelor,Art and design,University of Arts In Poznan,http://uap.edu.pl/en/study-in-english/prospective-students/fields-of-study/,unresolved,,No safe fee rule found yet
